Book,Sentence
Book 1,"2
1.4 Which programming language should you use?"
Book 1,"  7
1.5 Which operating system should you use?"
Book 1,"9
1.6 How do you develop embedded software?"
Book 1,"12
1.7 Conclusions 15
2 Introducing the 8051 microcontroller family 17
2.1 Introduction 17
2.2 What’s in a name?"
Book 1,"17
2.3 The external interface of the Standard 8051 18
2.4 Reset requirements 20
2.5 Clock frequency and performance 21
2.6 Memory issues 23
2.7 I/O pins 29
2.8 Timers 29
2.9 Interrupts 30
2.10 Serial interface 32
2.11 Power consumption 32
2.12 Conclusions 34
3 Hello, embedded world 35
3.1 Introduction 35
3.2 Installing the Keil software and loading the project 36Contents8322 Prelims (i-xvi)  25/2/02  3:04 pm  Page viiviii Contents
3.3 Configuring the simulator 37
3.4 Building the target 39
3.5 Running the simulation 39
3.6 Dissecting the program 43
3.7 Aside: Building the hardware 55
3.8 Conclusions 56
4 Reading switches 57
4.1 Introduction 57
4.2 Basic techniques for reading from port pins 58
4.3 Example: Reading and writing bytes 60
4.4 Example: Reading and writing bits (simple version) 61
4.5 Example: Reading and writing bits (generic version) 62
4.6 The need for pull-up resistors 67
4.7 Dealing with switch bounce 69
4.8 Example: Reading switch inputs (basic code) 70
4.9 Example: Counting goats 75
4.10 Conclusions 80
5 Adding structure to your code 81
5.1 Introduction 81
5.2 Object-oriented programming with C 82
5.3 The Project Header ( MAIN.H)88
5.4 The Port Header ( PORT.H)94
5.5 Example: Restructuring the ‘Hello Embedded World’ example 96
5.6 Example: Restructuring the goat-counting example 103
5.7 Further examples 111
5.8 Conclusions 111
6 Meeting real-time constraints 113
6.1 Introduction 113
6.2 Creating ‘hardware delays’ using Timer 0 and Timer 1 116
6.3 Example: Generating a precise 50 ms delay 1208322 Prelims (i-xvi)  25/2/02  3:04 pm  Page viiiix Contents
6.4 Example: Creating a portable hardware delay 124
6.5 Why not use Timer 2?"
Book 1,"129
6.6 The need for ‘timeout’ mechanisms 129
6.7 Creating loop timeouts 130
6.8 Example: Testing loop timeouts 133
6.9 Example: A more reliable switch interface 134
6.10 Creating hardware timeouts 136
6.11 Example: Testing a hardware timeout 140
6.12 Conclusions 142
7 Creating an embedded operating system 143
7.1 Introduction 143
7.2 The basis of a simple embedded OS 147
7.3 Introducing sEOS 152
7.4 Using Timer 0 or Timer 1 161
7.5 Is this approach portable?"
Book 1,"166
7.6 Alternative system architectures 166
7.7 Important design considerations when using sEOS 172
7.8 Example: Milk pasteurization 174
7.9 Conclusions 187
8 Multi-state systems and function sequences 189
8.1 Introduction 189
8.2 Implementing a Multi-State (Timed) system 192
8.3 Example: Traffic light sequencing 192
8.4 Example: Animatronic dinosaur 198
8.5 Implementing a Multi-State (Input/Timed) system 204
8.6 Example: Controller for a washing machine 205
8.7 Conclusions 215
9 Using the serial interface 217
9.1 Introduction 217
9.2 What is RS-232?"
Book 1,"217
9.3 Does RS-232 still matter?"
Book 1,"2188322 Prelims (i-xvi)  25/2/02  3:04 pm  Page ix9.4 The basic RS-232 protocol 218
9.5 Asynchronous data transmission and baud rates 219
9.6 Flow control 220
9.7 The software architecture 220
9.8 Using the on-chip UART for RS-232 communications 222
9.9 Memory requirements 224
9.10 Example: Displaying elapsed time on a PC 225
9.11 The Serial-Menu architecture 237
9.12 Example: Data acquisition 237
9.13 Example: Remote-control robot 252
9.14 Conclusions 253
10 Case study: Intruder alarm system 255
10.1 Introduction 255
10.2 The software architecture 257
10.3 Key software components used in this example 257
10.4 Running the program 258
10.5 The software 258
10.6 Conclusions 283
11 Where do we go from here 285
11.1 Introduction 285
11.2 Have we achieved our aims?"
Book 1,"285
11.3 Suggestions for further study 286
11.4 Patterns for Time-Triggered Embedded Systems 288
11.5 Embedded Operating Systems 288
11.6 Conclusions 289
Index 291
Licensing Agreement 295x Contents8322 Prelims (i-xvi)  25/2/02  3:04 pm  Page xThis book provides a ‘hardware-free’ introduction to embedded software for
people who:
GAlready know how to write software for ‘desktop’ computer systems."
Book 1,"GAre familiar with a C-based language (Java, C++ or C)."
Book 1,GWant to learn how C is used in practical embedded systems.
Book 1,"The remainder of this preface attempts to answer some questions which prospec-
tive readers may have about the contents."
Book 1,I What is an embedded system?
Book 1,"As far as this book is concerned:
This type of embedded system is all around us."
Book 1,"Use of embedded processors in pas-
senger cars, mobile phones, medical equipment, aerospace systems and defencesystems is widespread, and even everyday domestic appliances such as dishwash-ers, televisions, washing machines and video recorders now include at least onesuch device."
Book 1,II What type of processor is discussed?
Book 1,This book focuses on the embedded systems based on the 8051 family of microcon-trollers.
Book 1,Prices for 8051 devices start at less than $1.00 (US).
Book 1,"At this price, you get aperformance of around 1 million instructions per second, and 256 bytes (not
megabytes!) of on-chip RAM."
Book 1,"The 8051’s profile (price, performance, availablememory) matches the needs of many embedded systems very well."
Book 1,"As a result, thePreface
An embedded system is an application that contains at least one programmablecomputer (typically in the form of a microcontroller, a microprocessor or digitalsignal processor chip) and which is used by individuals who are, in the main,unaware that the system is computer-based.8322 Prelims (i-xvi)  25/2/02  3:04 pm  Page xixii Preface
8051 architecture – originally developed by Intel – is now implemented in more than
400 chips; these are produced by a diverse range of companies including Philips,Infineon, Atmel and Dallas."
Book 1,"Sales of this vast family are estimated to have the largestshare (around 60%) of the microcontroller market as a whole, and to make up morethan 50% of the 8-bit microcontroller market."
Book 1,"Versions of the 8051 are currently usedin a long list of embedded products, from automotive systems to children’s toys."
Book 1,"The low cost, huge range, easy availability and widespread use of the 8051
family makes it an excellent platform for developing embedded systems: thesesame factors also make it an ideal platform for learning about embedded systems."
Book 1,"Whether you will subsequently use 8-, 16- or 32-bit embedded processors, learningto work within the performance and memory limits of devices such as the 8051 isa crucial requirement in the cost-conscious embedded market."
Book 1,You simply cannotacquire these skills by developing code for a Pentium (or similar) processor.
Book 1,III Which operating system is used?
Book 1,"The 256 bytes of memory in the 8051 are – of course – insufficient to support any ver-sion of Windows, Linux or similar desktop operating systems."
Book 1,"Instead, we will describehow to create your own simple ‘embedded operating system’ (see Chapter 7)."
Book 1,"This ‘do-it-yourself’ approach is typical in small embedded applications, where the memoryrequirements and expense of a desktop operating system (like Windows or Linux) or ofa so-called ‘real-time operating system’ simply cannot be justified."
Book 1,"However, theapproach is also in widespread use in large embedded systems (for example, aerospaceapplications or X-by-wire systems in the automotive industry), where conventionaloperating systems are generally considered to be too unpredictable."
Book 1,"Learning to work on a ‘naked’ processor and create your own operating system are
key requirements for software developers wishing to work with embedded systems."
Book 1,IV What type of system is discussed?
Book 1,This book presents a number of examples adapted from working embedded sys-tems.
Book 1,"These include:
GA remotely-controlled robot."
Book 1,GA traffic-light sequencer.
Book 1,GA system for monitoring liquid flow rates.
Book 1,"GA controller for a domestic washing machine.8322 Prelims (i-xvi)  25/2/02  3:04 pm  Page xiixiii Preface
GAn animatronic dinosaur."
Book 1,GA general-purpose data acquisition system.
Book 1,"These and other examples are used to illustrate key software architectures that are
in widespread use in embedded designs; the examples may be adapted andextended to match the needs of your own applications."
Book 1,"The book concludes with a final case study: this brings together all of the fea-
tures discussed in earlier chapters in order to create an intruder alarm system."
Book 1,"Thiscase study includes the following key components:
GA suitable embedded operating system."
Book 1,GA multi-state system framework.
Book 1,GSoftware to process the inputs from door and window sensors.
Book 1,GA simple ‘keypad’ library to process passwords entered by the user.
Book 1,GSoftware to control external port pins (to activate the external bell).
Book 1,GAn ‘RS-232’ library to assist with debugging.
Book 1,V Do I need a degree in electronics in order to use this book?
Book 1,"Please consider the following statement: 
This is a concern which is commonly expressed by desktop programmers who – if
they ever learned anything about electronics at school, college or university –have probably forgotten it."
Book 1,"If you don’t know the difference between a MOSFET and a BJT, or even the dif-
ference between a resistor and a capacitor, please relax."
Book 1,"You don’t need to have
any knowledge of electronics in order to make full use of this book ."
Book 1,"Neither
will you need a soldering iron, breadboard or any electronic components."
Book 1,"In short,this book is (99%) hardware free."
Book 1,"To write software for the 8051 devices considered in this book, we will use an
industry-standard (Keil) compiler."
Book 1,"To test this software, we will use a hardwaresimulator."
Book 1,Copies of both compiler tools and the simulator are included on theenclosed CD.
Book 1,"Using these tools, all of the examples in the book may be run, mod-ified and recompiled and tested, using a standard Windows PC."
Book 1,"This approach allows experienced desktop programmers to quickly understand
the key features of embedded systems before they need to ‘get their hands dirty’and build some hardware.‘I’d like to learn about embedded software, but I don’t know enough about electronics.’8322 Prelims (i-xvi)  25/2/02  3:04 pm  Page xiiiVI What’s on the CD?"
Book 1,"In addition to the Keil compiler and hardware simulator (discussed in the previous
section), the CD also includes source code files for all the examples and the casestudy: this code is in the ‘C’ programming language and is compatible with theKeil compiler."
Book 1,"The CD also contains useful information about the 8051 microcontroller
family, including a large number of relevant data sheets and application notes."
Book 1,"VII What’s the link between this book and your other 8051 book
(Patterns for Time-Triggered Embedded Systems )?"
Book 1,Embedded C provides an introduction to the use of C in embedded projects.
Book 1,"If you
want to learn more about embedded systems after you finish this book, thenPatterns for Time-Triggered Embedded Systems (PTTES) may be of interest."
Book 1,"1
PTTES is a large (1000-page) book which includes a comprehensive set of
‘design patterns’ to support the development of embedded systems based on the8051 family of microcontrollers."
Book 1,"In total, details of more than 70 useful patternsare provided, complete with guidelines to help you apply these techniques in yourown projects: full source code for all of the patterns is included on the PTTES CD."
Book 1,"The book includes: patterns for embedded operating systems (for both single-
processor and multi-processor applications); patterns for user-interface designsusing switches, keypads, LED and liquid crystal displays; patterns for PID control;patterns for PWM; patterns for analogue-to-digital and digital-to-analogue conver-sion; patterns for RS-232, RS-485, CAN, SPI and I
2C serial networks; hardware
patterns describing reset, oscillator and memory circuits."
Book 1,VIII Is the code ‘free ware’?
Book 1,The code included in this book took many years to produce.
Book 1,"It is not ‘free ware’,and is subject to some simple copyright restrictions."
Book 1,"These are as follows:
GIf you have purchased a copy of this book, you are entitled to use the codelisted in the text (and included on the CD) in your projects, should you chooseto do so."
Book 1,"If you use the code in this way, then no run-time royalties are due.xiv Preface
1."
Book 1,"Pont, M.J. (2001) Patterns for time-triggered embedded systems: Building reliable applications with the
8051 family of microcontroller , Addison-Wesley / ACM Press.8322 Prelims (i-xvi)  25/2/02  3:04 pm  Page xivGIf you are using the code in a company, and (for example) ten people are using
the code, the company should own ten copies of this book."
Book 1,"GIf you are teaching in a university or college, you may freely distribute this codeto your students without requiring a licence, as long as the code is used forteaching purposes and no commercial application is involved."
Book 1,"Please note thatteaching (by university or college staff, or anyone else) of ‘short courses’ forindustry or for purposes of ‘continuing professional development’ does not
fall
into this category: if in doubt, please contact me for clarification.2
GYou may not, under any circumstances , publish any of the source code
included in the book or on the CD, in any form or by any means, withoutexplicit written authorization from me."
Book 1,"If you wish to publish limited code frag-ments then, in most circumstances, I will grant this permission, subject only toan appropriate acknowledgment accompanying the published material."
Book 1,"If youwish to publish more substantial code listings, then payment of a fee may berequired."
Book 1,Please contact me for further details.
Book 1,IX How should this book be read?
Book 1,This short book is intended to be read from cover to cover.
Book 1,"Access to a Windows PC while reading will be useful in later chapters, as this
will allow you to try out the examples for yourself: however, this is not essential."
Book 1,X What about bug reports and code updates?
Book 1,"There is fair amount of code involved in this project, both in the book itself andon the associated CD."
Book 1,"I have personally tested all of the code that appears here.Nonetheless, errors can creep in."
Book 1,"If you think you have found a bug, please send me an e-mail (the address is at
the end of this preface), and I will do my best to help."
Book 1,XI What about other reader comments?
Book 1,I began my first embedded project in 1986.
Book 1,"When writing Embedded C , I wanted to, try
and provide the kind of information that I needed (but could not find) at that time.xv Preface
2."
Book 1,"I can be contacted either by post (via the publishers, please), or much more efficiently by e-mail
at the address given at the end of this preface.8322 Prelims (i-xvi)  25/2/02  3:04 pm  Page xvI would appreciate your comments and feedback."
Book 1,"For example, should the book
be longer?"
Book 1,Shorter?
Book 1,What other areas should I cover?
Book 1,What should I miss out?Would you like to see a future edition focusing on a different family of microcon-trollers?
Book 1,"If so, which one?"
Book 1,"To ensure that any future editions continue to provide the information
you need, I would be delighted to hear of your experiences (good or bad) usingthe book."
Book 1,"XII Credit where credit is due
The publication of this book would not have been possible without the help andsupport of a number of people."
Book 1,"In particular, I would like to thank:
GThe ‘Electronic and Software Engineering’ students at the University ofLeicester who have provided useful feedback on this material as they attendedmy introductory courses in embedded systems in recent years."
Book 1,"GSimon Plumtree at Pearson Education, who responded positively to my sugges-tion that this material was suitable for wider publication."
Book 1,"GKaren Sellwood at Pearson, who helped to keep the project on the rails."
Book 1,"
GReinhard Keil and his colleagues, for reviewing the first draft of this book and –again – providing the core of the CD."
Book 1,"GJim Cooling, for his review of the first draft of this book."
Book 1,"GChris Stephens, for his review of the first draft of this book."
Book 1,GPenelope Allport for managing the project.
Book 1,GSara Barnes for copy editing; Claire Brodmann for the design; Barbara Archer forproof reading and David Worthington for the index.
Book 1,GBarbara and Gordon Pont for proof reading.
Book 1,"GSarah, for convincing me that ‘No More Shall We Part’ was worth listeningto again."
Book 1,Michael J.
Book 1,"Pont
Great Dalby, February 2002
Michael.Pont@tesco.netxvi Preface8322 Prelims (i-xvi)  25/2/02  3:04 pm  Page xvi1.1 Introduction
This is a short book for people who already know how to program desktop
computers and now wish to develop software for embedded systems."
Book 1,"In this introductory chapter, we consider some important decisions that must
be made at the start of any embedded project:
GThe choice of processor."
Book 1,GThe choice of programming language.
Book 1,GThe choice of operating system.
Book 1,We begin by considering the meaning of the phrase ‘embedded system’.
Book 1,1.2 What is an embedded system?
Book 1,"When we talk about ‘embedded systems’, what do we mean?"
Book 1,Opinions vary.
Book 1,"Throughout this book, we will use the following loose definition:
1chapter1
Programming embedded
systems in C
An embedded system is an application that contains at least one programmable
computer (typically in the form of a microcontroller, a microprocessor or digitalsignal processor chip) and which is used by individuals who are, in the main,unaware that the system is computer-based."
Book 1,"8322 Chapter 1 p1-16  21/2/02  9:52 am  Page 1Typical examples of embedded applications that are constructed using the tech-
niques discussed in this book include:
GMobile phone systems (including both customer handsets and base stations)."
Book 1,"GAutomotive applications (including braking systems, traction control, airbag
release systems, engine-management units, steer-by-wire systems and cruise-control applications)."
Book 1,"GDomestic appliances (including dishwashers, televisions, washing machines,
microwave ovens, video recorders, security systems, garage door controllers)."
Book 1,"GAerospace applications (including flight control systems, engine controllers,
autopilots and passenger in-flight entertainment systems)."
Book 1,"GMedical equipment (including anaesthesia monitoring systems, ECG moni-
tors, drug delivery systems and MRI scanners)."
Book 1,"
GDefence systems (including radar systems, fighter aircraft flight control sys-
tems, radio systems and missile guidance systems)."
Book 1,"Please note that our definition of embedded systems excludes applications such as
‘personal digital assistants’ (PDAs) running versions of Windows or similar operatingsystems: from a developer’s perspective, these are best viewed as a cut-down versionof a desktop computer system."
Book 1,This type of application makes up a very small per-centage of the overall ‘embedded’ market and is not considered in this book.
Book 1,1.3 Which processor should you use?
Book 1,"When desktop developers first think about working with embedded systems, thereis a natural inclination to stick with what they know and look for a book whichuses Pentium processors or other devices from this family (such as the 80486, orthe Intel 188)."
Book 1,"However, if you open up the engine management unit or the airbagrelease system in your car, or take the back off your dishwasher, you will not findany of these processors sitting inside, nor will there be anywhere to plug in a key-board, graphics display or mouse."
Book 1,"
Typical desktop processors cost more than US $100.00 a piece (often much
more)."
Book 1,This cost puts them out of reach of all but the most expensive embeddedapplication.
Book 1,"(Who would pay more than US $100 for a TV remote-control unit?)In addition, a desktop processor requires numerous external support chips in orderto function: this further increases the cost."
Book 1,"The additional components alsoincrease the physical size of the system, and the power consumption: both ofthese factors are major problems for battery-powered embedded devices."
Book 1,"(Who2 Embedded C8322 Chapter 1 p1-16  21/2/02  9:52 am  Page 2would buy a portable music player that requires ten large batteries to run, and
needs a trolley to transport it?)
Overall, the state-of-the art technology used in desktop processors matches the
needs of the PC user very well: however, their key features – an ability to executeindustry-standard code at a rate of more than 1000 million instructions per second –come with a heavy price tag and are simply not required in most embedded systems."
Book 1,The 8051 device is very different.
Book 1,"It is a well-tested design, introduced in its
original form by Intel in 1980 (Figure 1.1)."
Book 1,"The development costs of this devicehave now been fully recovered, and prices of modern 8051 devices now start atless than US $1.00."
Book 1,"At this price, you get a performance of around 1 millioninstructions per second, and 256 bytes (not megabytes!) of on-chip RAM."
Book 1,"You also
get 32 port pins and a serial interface."
Book 1,"The 8051’s profile (price, performance,available memory, serial interface) match the needs of many embedded systemsvery well."
Book 1,"As a result, it is now produced in more than 400 different forms by adiverse range of companies including Philips, Infineon, Atmel and Dallas."
Book 1,"Sales ofthis vast family are estimated to have the largest share (around 60%) of the micro-controller market as a whole, and to make up more than 50% of the 8-bitmicrocontroller market."
Book 1,"Versions of the 8051 are currently used in a long list ofembedded products, from children’s toys to automotive systems."
Book 1,"Building a desktop PC from an 8051 would not be a practical proposition, but it is
an excellent device for building many embedded systems."
Book 1,One important factor isthat the 8051 requires a minimum number of external components in order tooperate.
Book 1,"For example, Figure 1.2 shows the circuit diagram for a complete 8051-based application.3 Programming embedded systems in C
FIGURE 1.1  The external interface of a ‘Standard’ ‘8051’ microcontroller (40-pin DIP package)."
Book 1,"Standard 8051s have four ports, and are pin compatible with the original 8051/8052 from Intel.Further information about the pin functions is given in Chapter 2‘8051’1
2345678
9
10
111213141516171819
2040
393837363534333231302928272625242322
21VCC
P0.0P0.1P0.2P0.3P0.4P0.5
P0.6
P0.7
/ EA
ALE
/ PSEN
P2.7P2.6
P2.5
P2.4
P2.3P2.2P2.1P2.0P1.0
P1.1P1.2P1.3P1.4P1.5P1.6P1.7RSTP3.0P3.1P3.2P3.3P3.4P3.5P3.6P3.7XTL2XTL1VSS8322 Chapter 1 p1-16  21/2/02  9:52 am  Page 3The different nature of the embedded and desktop markets is emphasized by the
fact that some of the more recent 8051 devices – far from being more powerfuland having more features than the 1980 original – actually have fewer features."
Book 1,"For
example, as we will discuss in Chapter 2, the original 8051 (Figure 1.1) had 32 I/Opins and could – if necessary – be connected to up to 128 kbytes of externalmemory."
Book 1,"By contrast, the more recent ‘Small 8051’ devices typically have onlysome 15 I/O pins, and do not support external memory."
Book 1,"These devices are findingtheir way into applications that would have involved a small number of discretecomponents (transistors, diodes, resistors, capacitors) a few years ago, but whichmay now be implemented more cheaply using microcontrollers (Figure 1.3).4 Embedded C
FIGURE 1.2 An example of an 8051 microcontroller in use."
Book 1,"In this example, the microcontroller is
intended to flash an LED connected to Pin 6."
Book 1,"In addition to this LED, only a simple ‘reset’ circuit isrequired (the capacitor and resistor connected to Pin 9), plus an external oscillator (in this case, a 3-pin ceramic resonator)."
Book 1,"We will consider some software that could be used to control such anapplication in Chapter 3
‘8051’1
2345678
9
10
111213141516171819
2040
393837363534333231302928272625242322
21VCC
P0.0P0.1P0.2P0.3P0.4P0.5
P0.6
P0.7
/ EA
ALE
/ PSEN
P2.7P2.6
P2.5
P2.4
P2.3P2.2P2.1P2.0P1.0
P1.1P1.2P1.3P1.4P1.5P1.6P1.7RSTP3.0P3.1P3.2P3.3P3.4P3.5P3.6P3.7XTL2XTL1VSS
5V
10 µF10 mA
LED300Ω
10 K Ω
12 MHz
CeramicResonator8322 Chapter 1 p1-16  21/2/02  9:52 am  Page 4Both the Standard and Small 8051s are aimed, largely, at low-performance applica-
tion areas, where limited memory is required, and one of the most importantconsiderations is product cost."
Book 1,This forms a large segment of the embedded marketbut – of course – not all projects take this form.
Book 1,"To develop applications requiringadditional hardware or larger amounts of memory, we can opt to switch to a 16-bit(or 32-bit) microcontroller environment – or even consider using a desktop micro-processor."
Book 1,"However, such a move can require a major investment in staff, trainingand development tools."
Book 1,An alternative is to use one of the Extended 8051 devicesintroduced in recent years by a range of manufacturers (see Figure 1.4).
Book 1,"
One important application area for Extended 8051s has been the automotive
sector."
Book 1,"Recent economic, legislative and technological developments in this sectormean that an increasing number of road vehicles contain embedded systems.Linking these systems together in many recent vehicles is a low-cost, two-wireController Area Network (CAN) computer bus."
Book 1,"The CAN bus eliminates the expen-sive (and heavy) multi-wire looms, shaving around US $600 or more fromproduction costs: a significant saving."
Book 1,"5 Programming embedded systems in C
FIGURE 1.3 An example of a ‘Small 8051’ in use."
Book 1,"Small 8051s are produced by Atmel and
Philips."
Book 1,"They have two ports (or less), and around 20 pins."
Book 1,"In this case, an Atmel AT89C2051 isused, in a ‘cupboard light’ application."
Book 1,"The circuit here is intended for use in a cupboard(closet), and will be battery powered."
Book 1,"When the light is switched on (by pressing the switch),it will operate for 20 seconds."
Book 1,"If, in this time, the user does not press the switch again (to turnoff the light), the power will be removed automatically."
Book 1,"This is a typical example of a verysimple product that may now be economically produced using a microcontroller
Atmel 20511
2345678
9
1020
1918
17161514131211VCC
P1.7P1.6P1.5
P1.4
P1.3P1.2P1.1P1.0
P3.7RST
P3.0P3.1XTL2XTL1P3.2P3.3P3.4P3.5GND
10 K Ω4V - 6V (battery)
10 µF
5.5V, 0.3A lamp
E
B
CZTX7518322 Chapter 1 p1-16  21/2/02  9:52 am  Page 5This is not quite the end of the story."
Book 1,"In order to connect to the CAN bus, the var-
ious devices – from door mirrors to braking systems – each require an embeddedprocessor."
Book 1,"As a consequence, a modern passenger car may typically have 50processors on board."
Book 1,"To use 50 desktop chips in these circumstances, we wouldneed to spend around US $5000."
Book 1,"This cost greatly outweighs any saving achievedthrough the use of the CAN bus in the first place: in addition, the desktop proces-sor would not have on-chip support for CAN, so additional hardware would beneeded in order to provide this, further increasing our costs and design complex-ity."
Book 1,"As an alternative, various Extended 8051s have on-chip hardware support for6 Embedded C
FIGURE 1.4 An example of an Extended 8051 device."
Book 1,"Extended 8051s have additional
on-chip facilities, and additional port pins."
Book 1,"In the case of the Infineon C515C (shown here), theadditional facilities include support for the ‘Controller Area Network’ (CAN) bus: this bus iswidely used in the automotive sector and in industrial environments."
Book 1,"
Figure reproduced with
permission from Infineon40 P5.6
39 P5.5
38 P5.4
37 P5.3
36 P5.2
35 P5.1
34 P5.0
33 VCCE2
32 HWPD
31 VSSC1
30 N.C.
29 P4.0  ADST
28 P4.1  SCLK
27 P4.0/SRI
26 PE/SWD
25 P4.3/STO
24 P44.4  SLS
23 P4.5  INTB
22 P4.6  TXDC
21 P4.7  RXDC
20RESET19N.C.18VAREF17VAGDN16P6.7/AIN715P6.6/AIN614P6.5/AIN513P6.4/AIN412P6.3/AIN311P6.2/AIN210
P6.1/AIN19
P6.0/AIN08
VSSCLK7
VCCCLK6
P3.0/RXD5
P3.1/TXD4
P3.2  INT03
P3.3  INT12
P3.4/T01
P3.5/T161
626364656667686970717273747576777879804142434445464748495051525354555657585960P5.7
P0.7/AD7P0.6/AD6P0.5/AD5P0.4/AD4P0.3/AD3P0.2/AD2P0.1/AD1P0.0/AD0V
SSEXT
VCCEXT
EA
ALEPSEN
CPUR
P2.7/A15P2.6/A14P2.5/A13P2.4/A12P2.3/A11
P2.2/A10P2.1/A9P2.0/A8XTAL1XTAL2V
SSE1
VSS1
VCC1
VCCE1
P1.0  INT3/CC0
P1.1  INT4/CC1
P1.2  INT5/CC2
P1.3  INT6/CC3
P1.4  INT2
P1.5  T2LX
P1.6  CLKOUT
P1.7/T2P7.0  INT7
P3.7  RD
P3.6  WRC515C
P-MQFP-80
Package
MCP027158322 Chapter 1 p1-16  21/2/02  9:52 am  Page 6CAN (see Figure 1.4)."
Book 1,"The use of 50 such chips in a car design would not generally
cost more than US $200."
Book 1,"Using these processors, the switch to CAN may result inoverall savings of around US $400 per vehicle."
Book 1,"The final thing to note about the 8051 architecture is that, if none of the 400 or
so existing chips matches the needs of your application, you can now build yourown device."
Book 1,"For example, the Triscend
3E5 series of devices have 8051 cores, plus
an additional area of field-programmable gate arrays (FPGAs) with which you cancreate your own ‘on chip’ hardware."
Book 1,"Alternatively, for even greater flexibility,Xilinx Foundation
4provides a comprehensive set of tools for the programming of
‘blank’ FPGAs or Application-Specific ICs (ASICs)."
Book 1,Compatible with these tools area small range of 8051 ‘cores’ which can be purchased – for example – fromDolphin Integration.
Book 1,"5The use of such techniques allows you to create your own
completely customized 8051 microcontroller, in order to match precisely your par-ticular requirements."
Book 1,"
Overall, the low cost, huge range, easy availability and widespread use of the
8051 architecture makes it an excellent platform for developing embedded sys-tems: these same factors also make it an ideal platform for learning aboutembedded systems."
Book 1,"Whether you will subsequently use 8-, 16- or 32-bit embeddedprocessors, learning to work within the performance and memory limits of devicessuch as the 8051 is a crucial requirement in the cost-conscious embedded market.You simply cannot acquire these skills by developing code for a Pentium (or simi-lar desktop) processor."
Book 1,1.4 Which programming language should you use?
Book 1,"Having decided to use an 8051 processor as the basis of your embedded system,the next key decision that needs to be made is the choice of programming lan-guage."
